nd,part_num,OD,L,D,H,L1,E,ports_count,end_type,skey,pnp_class,category,family_desc,short_desc
0.5000,K200-0.5-150#,0.5000,4.2520,3.5039,3.7402,6.2992,1.5551,2,FL,VB,ValveBody,Valves,INTEC K200 Class 150 Flanged Ball Valve,INTEC K200 Ball Valve 150#
0.7500,K200-0.75-150#,0.7500,4.6063,3.8583,4.1339,6.2992,1.8110,2,FL,VB,ValveBody,Valves,INTEC K200 Class 150 Flanged Ball Valve,INTEC K200 Ball Valve 150#
1.0000,K200-1-150#,1.0000,5.0000,4.2520,4.4882,7.0866,1.9488,2,FL,VB,ValveBody,Valves,INTEC K200 Class 150 Flanged Ball Valve,INTEC K200 Ball Valve 150#
1.2500,K200-1.25-150#,1.2500,5.5118,4.6063,5.1181,7.0866,2.3228,2,FL,VB,ValveBody,Valves,INTEC K200 Class 150 Flanged Ball Valve,INTEC K200 Ball Valve 150#
1.5000,K200-1.5-150#,1.5000,6.4961,5.0000,5.3150,11.8110,2.9921,2,FL,VB,ValveBody,Valves,INTEC K200 Class 150 Flanged Ball Valve,INTEC K200 Ball Valve 150#
2.0000,K200-2-150#,2.0000,7.0079,5.9843,5.6299,11.8110,3.2874,2,FL,VB,ValveBody,Valves,INTEC K200 Class 150 Flanged Ball Valve,INTEC K200 Ball Valve 150#
2.5000,K200-2.5-150#,2.5000,7.4803,7.0079,6.1024,11.8110,3.7008,2,FL,VB,ValveBody,Valves,INTEC K200 Class 150 Flanged Ball Valve,INTEC K200 Ball Valve 150#
3.0000,K200-3-150#,3.0000,7.9921,7.4803,7.7559,19.6850,4.0354,2,FL,VB,ValveBody,Valves,INTEC K200 Class 150 Flanged Ball Valve,INTEC K200 Ball Valve 150#
4.0000,K200-4-150#,4.0000,9.0157,9.0157,8.4646,19.6850,4.7441,2,FL,VB,ValveBody,Valves,INTEC K200 Class 150 Flanged Ball Valve,INTEC K200 Ball Valve 150#
0.5000,K200-0.5-300#,0.5000,5.5118,3.7402,3.7402,6.2992,1.5551,2,FL,VB,ValveBody,Valves,INTEC K200 Class 300 Flanged Ball Valve,INTEC K200 Ball Valve 300#
0.7500,K200-0.75-300#,0.7500,5.9843,4.6063,4.1339,6.2992,1.8110,2,FL,VB,ValveBody,Valves,INTEC K200 Class 300 Flanged Ball Valve,INTEC K200 Ball Valve 300#
1.0000,K200-1-300#,1.0000,6.4961,4.8819,4.4882,7.0866,1.9488,2,FL,VB,ValveBody,Valves,INTEC K200 Class 300 Flanged Ball Valve,INTEC K200 Ball Valve 300#
1.2500,K200-1.25-300#,1.2500,7.0079,5.2362,5.1181,7.0866,2.3228,2,FL,VB,ValveBody,Valves,INTEC K200 Class 300 Flanged Ball Valve,INTEC K200 Ball Valve 300#
1.5000,K200-1.5-300#,1.5000,7.4803,6.1417,5.3150,11.8110,2.9921,2,FL,VB,ValveBody,Valves,INTEC K200 Class 300 Flanged Ball Valve,INTEC K200 Ball Valve 300#
2.0000,K200-2-300#,2.0000,8.5039,6.4961,5.6299,11.8110,3.2874,2,FL,VB,ValveBody,Valves,INTEC K200 Class 300 Flanged Ball Valve,INTEC K200 Ball Valve 300#
2.5000,K200-2.5-300#,2.5000,9.4882,7.4803,6.1024,11.8110,3.7008,2,FL,VB,ValveBody,Valves,INTEC K200 Class 300 Flanged Ball Valve,INTEC K200 Ball Valve 300#
3.0000,K200-3-300#,3.0000,11.1417,8.2677,7.7559,19.6850,4.0354,2,FL,VB,ValveBody,Valves,INTEC K200 Class 300 Flanged Ball Valve,INTEC K200 Ball Valve 300#
4.0000,K200-4-300#,4.0000,12.0079,10.0000,8.4646,19.6850,4.7441,2,FL,VB,ValveBody,Valves,INTEC K200 Class 300 Flanged Ball Valve,INTEC K200 Ball Valve 300#
