nd,part_num,OD,D,L,E,H,T,OD1,ports_count,end_type,skey,pnp_class,category,family_desc,short_desc
0.0625,SS-100-6,0.0625,0.3125,0.99,0.05,,0.010,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
0.1250,SS-200-6,0.1250,0.3750,1.40,0.09,,0.028,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
0.1875,SS-300-6,0.1875,0.4375,1.47,0.12,,0.030,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
0.2500,SS-400-6,0.2500,0.5000,1.61,0.19,,0.048,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
0.3125,SS-500-6,0.3125,0.5625,1.69,0.25,,0.055,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
0.3750,SS-600-6,0.3750,0.6250,1.77,0.28,,0.065,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
0.5000,SS-810-6,0.5000,0.7500,2.02,0.41,,0.065,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
0.6250,SS-1010-6,0.6250,0.8750,2.05,0.50,,0.065,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
0.7500,SS-1210-6,0.7500,1.0625,2.11,0.62,,0.075,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
0.8750,SS-1410-6,0.8750,1.1875,2.17,0.72,,0.083,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
1.0000,SS-1610-6,1.0000,1.3750,2.55,0.88,,0.095,,2,PL,UN,Coupling,Fittings,Swagelok Straight Union,Swagelok Union
